GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.GossipTask,19,75,3,5,4,18,3,3,0,2
JaCoCo Ant Example,org.apache.cassandra.gms,TokenSerializer,9,72,3,7,0,19,4,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSynSerializer,22,36,0,0,4,10,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSerializer,21,32,0,0,4,9,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAckSerializer,44,79,2,4,6,17,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue.VersionedValueFactory,181,143,0,0,17,23,11,16,11,16
JaCoCo Ant Example,org.apache.cassandra.gms,GossipShutdownVerbHandler,6,15,1,1,2,5,1,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSerializationHelper,29,45,2,4,5,9,3,4,2,2
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigest,36,37,1,1,8,11,2,6,1,6
JaCoCo Ant Example,org.apache.cassandra.gms,ArrivalWindow,35,108,8,10,5,26,10,7,2,6
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue.VersionedValueSerializer,11,27,0,0,1,7,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,VersionGenerator,3,9,0,0,1,2,1,2,1,2
JaCoCo Ant Example,org.apache.cassandra.gms,EchoMessage,0,9,0,0,0,2,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.gms,HeartBeatStateSerializer,9,20,0,0,1,5,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSynVerbHandler,115,181,18,16,22,38,13,8,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2Serializer,35,69,2,4,5,15,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2,0,14,0,0,0,5,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck2VerbHandler,14,25,4,2,5,8,3,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new ArrayList() {...},18,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.new IAsyncCallback() {...},0,28,0,0,0,4,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,VersionedValue,29,49,3,3,2,12,5,5,2,5
JaCoCo Ant Example,org.apache.cassandra.gms,HeartBeatState,24,33,0,0,3,13,2,7,2,7
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAck,0,20,0,0,0,7,0,4,0,4
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper.Props,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,org.apache.cassandra.gms,ArrayBackedBoundedStats,23,64,3,3,4,15,4,4,1,4
JaCoCo Ant Example,org.apache.cassandra.gms,EndpointState,30,185,7,13,4,46,9,21,2,18
JaCoCo Ant Example,org.apache.cassandra.gms,EchoMessage.EchoMessageSerializer,2,6,0,0,1,3,1,3,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestSyn,0,20,0,0,0,7,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,GossipDigestAckVerbHandler,25,130,13,17,8,29,11,7,0,3
JaCoCo Ant Example,org.apache.cassandra.gms,Gossiper,1526,1806,215,183,311,446,188,104,33,60
JaCoCo Ant Example,org.apache.cassandra.gms,EndpointStateSerializer,49,88,2,4,9,19,2,5,1,3
JaCoCo Ant Example,org.apache.cassandra.gms,ApplicationState,0,254,0,0,0,26,0,1,0,1
JaCoCo Ant Example,org.apache.cassandra.gms,FailureDetector,578,209,49,21,100,53,44,13,12,10
JaCoCo Ant Example,org.apache.cassandra.utils.vint,VIntCoding.new FastThreadLocal() {...},0,6,0,0,0,2,0,2,0,2
JaCoCo Ant Example,org.apache.cassandra.utils.vint,VIntCoding,102,121,10,6,26,25,12,12,7,9
JaCoCo Ant Example,org.apache.cassandra.db.rows,Unfiltered,6,15,1,3,1,2,2,3,1,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterator,0,15,1,5,0,3,1,3,0,1
JaCoCo Ant Example,org.apache.cassandra.db.rows,CellPath,82,48,15,5,16,9,12,5,3,4
JaCoCo Ant Example,org.apache.cassandra.db.rows,NativeCell,285,0,30,0,51,0,29,0,14,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new WrappingUnfilteredRowIterator() {...},27,0,4,0,6,0,5,0,3,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,UnfilteredRowIterators.new AbstractUnfilteredRowIterator() {...},29,0,2,0,6,0,3,0,2,0
JaCoCo Ant Example,org.apache.cassandra.db.rows,EncodingStats,90,138,15,13,6,24,12,8,3,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,ColumnDefinitionVersionComparator,67,42,12,6,5,9,9,2,0,2
JaCoCo Ant Example,org.apache.cassandra.db.rows,BTreeRow.new AbstractCollection() {...},0,15,0,0,0,3,0,3,0,3
JaCoCo Ant Example,org.apache.cassandra.db.rows,CellPath.EmptyCellPath,8,2,0,0,3,1,3,1,3,1
